raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/train/explained_variance,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/train/clip_fraction,raw/gen/train/std,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/train/entropy_loss,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/policy_gradient_loss
3422,38,131072,1,,,,,,,,,,,,
3409,38,262144,1,-0.259909987449646,0.2,2.141946763902888,0.1161895751953125,1.00118088722229,627.9668677148223,0.0003,10,-8.509547680104152,0.07170647382736206,0.009373657,-0.004145650936027323
3419,38,393216,1,0.020410001277923584,0.2,1.2067850585501219,0.151983642578125,1.0030179023742676,641.5598860666156,0.0003,20,-8.530668509425595,0.049386341124773026,0.011799667,-0.0044862892704031765
3419,38,524288,1,0.0533100962638855,0.2,0.787867265220666,0.18403778076171876,1.0031788349151611,632.4038835811615,0.0003,30,-8.5425001968164,0.259248822927475,0.013470318,-0.007339697295128645
3421,38,655360,1,0.15226924419403076,0.2,0.5660554897105612,0.20056838989257814,0.9983433485031128,623.7770194220543,0.0003,40,-8.508409771043807,0.35221514105796814,0.014021142,-0.009876812982815864
3279,39,786432,1,0.3149142861366272,0.2,0.4378131439178105,0.199029541015625,0.9924755096435547,616.5339614740014,0.0003,50,-8.474037313275039,0.17359822988510132,0.014243823,-0.01178701548956269
3441,38,917504,1,0.5293000638484955,0.2,0.3807430219894741,0.20621109008789062,0.985198438167572,610.1115314584971,0.0003,60,-8.41641108407639,0.10898179560899734,0.014614953,-0.013529699595096645
3376,38,1048576,1,0.7082165479660034,0.2,0.366698753896344,0.1985107421875,0.9773985743522644,607.9898662498593,0.0003,70,-8.366148702288047,0.1459665149450302,0.014046913,-0.013687480767271155
3290,39,1179648,1,0.7864187508821487,0.2,0.3301915354091761,0.206640625,0.965721607208252,619.8704123774171,0.0003,80,-8.312262852909043,0.18515761196613312,0.014326648,-0.01532548502800637
3252,40,1310720,1,0.8201021701097488,0.2,0.2697549254517071,0.24030075073242188,0.9526219367980957,625.1490788072348,0.0003,90,-8.22285213721916,0.18013441562652588,0.016693268,-0.01864408032481606
3281,39,1441792,1,0.8245406001806259,0.2,0.17284857658905822,0.26335678100585935,0.937694251537323,615.5530366513133,0.0003,100,-8.125680649513379,0.038948338478803635,0.017867185,-0.02170811523046723
3298,39,1572864,1,0.8515751659870148,0.2,0.11000642594844975,0.2824676513671875,0.9236977100372314,593.6911693075299,0.0003,110,-8.027729818201625,0.002346072345972061,0.019384123,-0.025130497135774022
3824,34,1703936,1,0.8352014869451523,0.2,0.08632424139923386,0.2873565673828125,0.9095985293388367,564.751603539288,0.0003,120,-7.93604376455769,0.03053303062915802,0.019651987,-0.026418204915512434
3796,34,1835008,1,0.7472299933433533,0.2,0.11790119596025761,0.2766693115234375,0.9013230800628662,533.3063536447287,0.0003,130,-7.867215961846523,0.04111690819263458,0.018941458,-0.025622955231801824
3784,34,1966080,1,0.5429044663906097,0.2,0.20800480028774473,0.2779090881347656,0.8920185565948486,503.4571107369661,0.0003,140,-7.81401863428764,0.047263894230127335,0.01923625,-0.02441369236250921
